month,post_dummy_residual,time_fe_residual
1,-0.8212023789307474,1.2612133559741778e-14
2,3.3138274633429012,1.9273471707492717e-14
3,-2.6388440283233177,1.2523315717771765e-14
4,4.0212187904512815,-2.8954616482224084e-14
5,0.18109948046914495,2.3003821070233242e-14
6,-4.0560993270094015,2.2293278334473145e-14
7,5.157578659275837,8.348877145181177e-15
8,0.5973767651597967,2.0516921495072894e-14
9,-2.3587410399845044,3.588240815588506e-14
10,2.8805628675862525,-2.1760371282653068e-14
11,-1.0319600101144206,7.37188088351104e-15
12,-5.244817241923131,1.6964207816272393e-14
