reference,term,estimate,standard_error,ci_95_low,ci_95_high
Suburb,const,865.9469787864456,6.9408357595295405,852.301379902845,879.5925776700461
Suburb,marketing_centered,17.830740654668773,0.41084304924227805,17.023028205000394,18.638453104337152
Suburb,location_Center,142.93665293407113,11.143511619797714,121.0286443041697,164.84466156397258
Suburb,location_University,83.05494529050975,11.229585173938847,60.97771709757757,105.13217348344193
Suburb,location_Industrial,-100.88253023981349,13.505450401877784,-127.43408185567795,-74.33097862394904
Center,const,1008.8836317205172,8.811744327938307,991.5598492929038,1026.2074141481305
Center,marketing_centered,17.830740654668688,0.41084304924227855,17.02302820500031,18.638453104337067
Center,location_Suburb,-142.93665293407065,11.143511619797701,-164.84466156397207,-121.02864430416923
Center,location_University,-59.881707643561484,12.443646532405552,-84.3457657359003,-35.41764955122267
Center,location_Industrial,-243.81918317388454,14.482009313943236,-272.29063776136945,-215.3477285863996
