term,estimate,standard_error,p_value,ci_95_low,ci_95_high,fwl_area_estimate,standardized_estimate
const,337.8871816388852,65.91304057973385,4.934308724246496e-07,208.24520099799668,467.5291622797737,,5.204170427930421e-16
area_sqm,10.56343634170402,0.26705294220319004,3.0562437547215556e-130,10.038179547924075,11.088693135483963,10.56343634170402,0.7589158836355696
quality_score,99.10772695654282,7.706459809405236,3.4335159439143324e-31,83.95016929218157,114.26528462090407,,0.3133598610031251
distance_center_km,-18.995409594351017,1.9517691213392034,6.13169567012108e-20,-22.834273837581513,-15.15654535112052,,-0.23741481288022853
building_age_years,-2.787461491660626,0.39185487181973,6.57393295424115e-12,-3.5581866965620508,-2.016736286759201,,-0.13635526275952364
