model,term,estimate,standard_error,p_value,r_squared,rmse
Insulation only,insulation_index,-47.78964741356613,1.540976893275111,2.5709491340960404e-87,0.795003921899747,237.49018817517765
Thermal only,thermal_score,-47.072083068895495,1.5445355899442554,7.929058797249834e-86,0.7892623732347632,240.793044522153
Both,insulation_index,-30.843875328511057,9.682278421352676,0.0016304162402970993,0.797578892309766,235.99390898278216
Both,thermal_score,-16.96632545512763,9.571524031884573,0.07753030064878683,0.797578892309766,235.99390898278216
